State Abbreviation,State,Population Estimate
AL,.Alabama,4887871
AK,.Alaska,737438
AZ,.Arizona,7171646
AR,.Arkansas,3013825
CA,.California,39557045
CO,.Colorado,5695564
CT,.Connecticut,3572665
DE,.Delaware,967171
FL,.Florida,21299325
GA,.Georgia,10519475
HI,.Hawaii,1420491
ID,.Idaho,1754208
IL,.Illinois,12741080
IN,.Indiana,6691878
IA,.Iowa,3156145
KS,.Kansas,2911505
KY,.Kentucky,4468402
LA,.Louisiana,4659978
ME,.Maine,1338404
MD,.Maryland,6042718
MA,.Massachusetts,6902149
MI,.Michigan,9995915
MN,.Minnesota,5611179
MS,.Mississippi,2986530
MO,.Missouri,6126452
MT,.Montana,1062305
NE,.Nebraska,1929268
NV,.Nevada,3034392
NH,.New Hampshire,1356458
NJ,.New Jersey,8908520
NM,.New Mexico,2095428
NY,.New York,19542209
NC,.North Carolina,10383620
ND,.North Dakota,760077
OH,.Ohio,11689442
OK,.Oklahoma,3943079
OR,.Oregon,4190713
PA,.Pennsylvania,12807060
RI,.Rhode Island,1057315
SC,.South Carolina,5084127
SD,.South Dakota,882235
TN,.Tennessee,6770010
TX,.Texas,28701845
UT,.Utah,3161105
VT,.Vermont,626299
VA,.Virginia,8517685
WA,.Washington,7535591
WV,.West Virginia,1805832
WI,.Wisconsin,5813568
WY,.Wyoming,577737
