Country,Reference date (dd/mm/yyyy),Average household size (number of members),1 member,2-3 members,4-5 members,6 or more members,Female head of household (percentage of households),Multi-Generation,Marriage Rate,Divorce Rate,Paid Maternity Leave (weeks),Paid Paternity Leave (week),,Happiness Score,GDP PPP,Any Method,Unmet Needs,Rooms Per Person,Domestic Violence Legislation,Domestic Violence,2 Parents,Female Decision Making
Afghanistan,10/19/15,8.04,0.2,6.5,16.8,76.5,1.7,50.4,,,,,,3.79399991,"1,981",21.2,,,,46.1,,36.1
Albania,7/1/11,3.86,..,..,..,..,14.2,,,1.3,,,,4.644000053,"12,021",69.3,13,,,,,
Algeria,,,,,,,,,,,,,,5.872000217,,61.4,11,,,,,
Angola,1/1/16,4.82,10.8,23.9,28.5,36.8,34.5,17.5,,0,,,,3.795000076,"6,389",6.2,,,,,,6.5
Argentina,7/1/10,3.26,17.6,42.3,29,11.1,34.2,29.6,,,,,,6.598999977,"20,787",78.9,,,,,,
Armenia,7/1/11,4.01,11,29.2,38.4,21.4,29,60.2,,0.9,,,,4.375999928,"9,648",54.9,14,,,,,
Australia,7/1/11,2.5,24.3,50,22.4,3.3,42.2,,,2.5,18,2,,7.28399992,"47,047",72.3,,0.87,1,,,
Austria,7/1/11,2.27,36.3,44.5,17.1,2.1,..,,,2.5,16,0,,7.006000042,"52,558",,,1.05,3,4,84,
Azerbaijan,7/1/09,4.55,6.8,20.9,44.7,27.7,26.9,,,1,,,,5.234000206,"17,398",51.1,15,,,9.8,,
Bangladesh,8/22/14,4.47,1.7,29.7,45.6,23,12.5,39.5,,,,,,4.607999802,"3,869",61.2,14,,,22.4,,21.5
Belarus,7/1/09,2.48,27,51.7,19.1,2.2,52,30.6,,3.3,,,,5.568999767,"18,848",72.6,,,,,,
Belgium,7/1/11,2.36,30.9,48.3,18.7,2.1,..,,,2.8,15,2,,6.890999794,"47,561",74.6,,1.36,1,8,73.8,
Benin,2/17/12,4.96,10.3,23.1,30.2,36.4,22.9,30.6,,,,,,3.657000065,"2,266",12.9,27,,,,,
Bhutan,7/1/05,..,9.2,25.7,33.7,31.4,28.2,,,,,,,5.011000156,"9,561",65.6,12,,,,,
Bolivia (Plurinational State of),7/1/12,3.53,20.3,34.8,27.6,17.2,35.5,,,,,,,5.822999954,"7,560",60.6,20,,,24.2,,
Bosnia,,,,,,,,,,,,,,5.18200016,,45.8,9,,,,,
Botswana,7/1/11,3.52,27.9,32.3,20.5,19.3,47.6,23.9,,,,,,3.766000032,"17,354",52.8,,,,,,
Brazil,7/1/10,3.31,12,47.3,31.9,8.8,38.7,30.9,,0.9,,,,6.635000229,"15,484",80.3,6,,,,,
Bulgaria,7/1/11,2.34,30.5,51,16.6,1.9,..,,,2.1,58.6,2.1,,4.714000225,"20,329",,,0.74,2,9,82.3,
Burkina Faso,10/1/14,5.92,6.6,19.5,27.4,46.5,11.8,24.8,,,,,,4.032000065,"1,870",16.2,25,,,9.3,,
Burundi,12/22/16,4.83,6,25.2,31.7,37.1,28.7,19.5,,,,,,2.904999971,771,21.9,32,,,,,
Cambodia,9/1/14,4.61,3.4,25.6,43.1,27.9,26.9,42.4,,,,,,4.168000221,"4,002",50.5,17,,,10.9,,1.4
Cameroon,5/2/11,4.99,15.1,22.7,24.4,37.7,25.4,24.3,,,,,,4.695000172,"3,694",23.4,24,,,31.4,,
Canada,7/1/11,2.47,27.5,49.8,19.9,2.8,39,15.9,,2.2,17,0,,7.315999985,"46,378",74,,,1,,79.5,
Central African Republic,12/8/94,4.91,13.5,28.1,23.9,34.5,21,18.6,,,,,,2.693000078,726,,,,,,,
Chad,1/16/15,5.78,7.7,18.5,25.7,48.1,22,18.2,,,,,,3.936000109,"1,941",4.8,28,,,17.5,,38.7
Chile,7/1/02,3.58,11.4,39.2,37.1,12.2,31.5,32.9,,0.2,18,1,,6.65199995,"24,085",60.7,,0.61,3,,,
China,7/1/10,..,14.5,51.2,27.6,6.6,..,,,1.5,,,,5.272999763,"16,807",84.6,2,,,,,
Colombia,8/28/15,3.53,11.1,42.4,34.8,11.7,36.4,38.2,,0.2,,,,6.356999874,"14,552",79.1,8,,,37.4,,2.2
Congo,11/26/11,4.31,13.1,29.9,29.1,27.9,23,18,,,,,,6.356999874,"5,359",44.7,18,,,36.8,,
Dem. Republic of the Congo,11/10/13,5.3,7.3,21.2,27.8,43.7,24.9,24.9,,,,,,4.28000021,887,17.7,24,,,,,26.3
Costa Rica,7/1/11,3.46,11.2,42.7,35.8,10.2,30.1,34.7,,2.1,17.3,,,7.078999996,"17,044",82.2,,,,,,
Croatia,7/1/11,2.8,24.6,44.4,25.3,5.7,41.3,,,1.1,30,0,,5.293000221,"25,264",,,,,4,,
Cyprus,7/1/11,2.75,18.7,52.5,25.8,2.9,..,,,1.9,18,0,,5.620999813,34504,,,1.32,3,3,87.7,
Czechia,7/1/11,2.4,27.3,51.3,20.4,1,..,,,3,,,,6.609000206,"36,916",,,0.96,,,,
Denmark,,,,,,,,,,,,,,7.521999836,,,,1.22,1,7,78.5,
Dominican Republic,9/2/13,3.48,14.3,39.9,33.1,12.7,40,26.2,,1.8,,,,5.230000019,"16,030",73,11,,,16,,
Ecuador,7/1/10,3.78,12.1,35.9,35.5,16.5,28.6,29.1,,1.1,,,,6.007999897,"11,617",72.7,7,,,,,
Egypt,5/20/14,4.13,6.5,30.4,43.1,20,12.9,30.6,,0.9,,,,4.735000134,"11,583",60.3,12,,,14,,10.4
El Salvador,7/1/07,4.07,8.8,34.1,36.8,20.3,34.8,35.3,,0.8,,,,6.002999783,"8,006",72.3,,,,7.7,,
Estonia,7/1/11,2.3,33.9,47.3,17.1,1.7,..,,,2.8,20,2,,5.611000061,"31,638",,,1.05,1,4,83.8,
Ethiopia,4/7/16,4.61,7.5,27,32,33.5,25.4,22.5,,2.4,,,,4.460000038,"1,899",,26,,,,,10.3
Finland,7/1/10,2.07,41,44.5,13,1.6,43.2,,,2.5,17.5,3,,7.468999863,"45,192",,,1.21,1,8,85.7,
France,7/1/11,2.25,34.4,47.1,17,1.6,..,,,2.5,16,2,,6.441999912,"42,779",76.6,2,1.14,1,7,76.6,
Gabon,3/8/12,4.1,22.4,28.5,22.5,26.6,30,21.7,,,,,,4.465000153,"18,183",31.1,27,,,31.5,,
Georgia,7/1/02,3.52,16.3,34.5,35.5,13.6,..,,,0.5,,,,4.285999775,"10,699",53.4,,,,,,
Germany,7/1/11,2.05,39.5,47,12.7,0.8,..,,,2.3,14,0,,6.951000214,"50,715",,,1.16,1,5,82.9,
Ghana,10/22/14,3.49,25.9,30.3,25.3,18.5,33.8,17.6,,,,,,4.119999886,"4,641",,,,,19.2,,6.7
Greece,7/1/11,2.44,27.5,49.8,21.3,1.4,..,,,1.2,43,0.4,,5.227000237,"27,809",76.2,,0.9,2,8,91.3,
Guatemala,2/26/15,4.81,4.3,26.6,37.5,31.6,25,38.7,,0.1,,,,6.453999996,"8,150",54.1,,,,,,5.1
