Name,Percentage,Lower Limit, Upper Limit
Alabama,13.2,12.2,14.2
Alaska,7.7,6.5,9.2
Arizona,9.7,9,10.5
Arkansas,12.1,10.8,13.5
California,9.7,9,10.4
Colorado,6.2,5.8,6.6
Connecticut,8.5,7.9,9.1
Delaware,9.1,8.1,10.2
District of Columbia,8.4,7.6,9.3
Florida,9.8,9.2,10.4
Georgia,11.4,10.5,12.4
Hawaii,9.5,8.7,10.4
Idaho,8.1,7.3,9
Illinois,9.5,8.7,10.5
Indiana,10.4,9.8,11.1
Iowa,8.1,7.5,8.8
Kansas,8.5,8,9
Kentucky,11.8,10.9,12.7
Louisiana,11.1,10.1,12.2
Maine,8.5,7.8,9.2
Maryland,9.8,9.2,10.4
Massachusetts,8.3,7.6,9
Michigan,9.8,9.2,10.4
Minnesota,7.6,7.1,8
Mississippi,12.4,11.4,13.5
Missouri,10.2,9.4,11.2
Montana,6.9,6.2,7.7
Nebraska,8,7.5,8.6
Nevada,10.1,9.1,11.3
New Hampshire,7.7,7,8.5
New Jersey,8.1,7.3,8.9
New Mexico,10.4,9.4,11.4
New York,9.4,8.9,10
North Carolina,10.1,9.3,10.9
North Dakota,8.2,7.4,9
Ohio,9.7,9,10.3
Oklahoma,10.9,10.1,11.8
Oregon,8.4,7.6,9.2
Pennsylvania,9.6,8.8,10.4
Rhode Island,8.6,7.8,9.5
South Carolina,11.5,10.8,12.2
South Dakota,6.9,6.1,7.8
Tennessee,11.2,10.3,12.1
Texas,10.9,9.9,11.9
Utah,7.7,7.1,8.3
Vermont,7.3,6.5,8.1
Virginia,9.6,8.9,10.2
Washington,8.6,8.1,9.1
West Virginia,12.7,11.9,13.5
Wisconsin,8.6,7.7,9.5
Wyoming,7.6,6.7,8.6
