Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2019-03-31 12:54AM","2019-03-31 9:13AM","483","16","1","499","N/A","N/A","N/A"
"2019-03-30 12:56AM","2019-03-30 9:59AM","532","11","1","543","N/A","N/A","N/A"
"2019-03-28 10:55PM","2019-03-29 8:41AM","557","29","1","586","N/A","N/A","N/A"
"2019-03-28 2:10AM","2019-03-28 8:25AM","366","9","0","375","N/A","N/A","N/A"
"2019-03-26 11:35PM","2019-03-27 8:02AM","494","11","0","506","N/A","N/A","N/A"
"2019-03-22 9:43AM","2019-03-22 4:58PM","420","15","1","435","N/A","N/A","N/A"
"2019-03-20 11:18PM","2019-03-21 8:38AM","521","35","3","560","N/A","N/A","N/A"
"2019-03-19 11:25PM","2019-03-20 8:43AM","516","41","3","558","N/A","N/A","N/A"
"2019-03-18 10:04PM","2019-03-19 7:43AM","559","19","2","578","N/A","N/A","N/A"
"2019-03-17 10:18PM","2019-03-18 3:06AM","271","17","1","288","N/A","N/A","N/A"
"2019-03-17 12:38AM","2019-03-17 7:27AM","390","19","1","409","N/A","N/A","N/A"
"2019-03-16 1:20AM","2019-03-16 9:31AM","474","17","0","491","N/A","N/A","N/A"
"2019-03-14 11:33PM","2019-03-15 9:06AM","547","22","0","573","N/A","N/A","N/A"
"2019-03-13 11:35PM","2019-03-14 9:17AM","572","10","0","582","N/A","N/A","N/A"
"2019-03-13 12:34AM","2019-03-13 7:19AM","393","11","0","404","N/A","N/A","N/A"
"2019-03-11 11:24PM","2019-03-12 6:43AM","417","18","1","439","N/A","N/A","N/A"
"2019-03-11 1:13AM","2019-03-11 8:43AM","427","23","1","450","N/A","N/A","N/A"
"2019-03-10 12:31AM","2019-03-10 7:58AM","435","12","2","447","N/A","N/A","N/A"
"2019-03-08 11:23PM","2019-03-09 8:01AM","496","21","2","517","N/A","N/A","N/A"
"2019-03-08 12:28AM","2019-03-08 7:52AM","429","14","1","444","N/A","N/A","N/A"
"2019-03-07 12:04AM","2019-03-07 7:33AM","434","14","1","448","N/A","N/A","N/A"
"2019-03-06 1:00AM","2019-03-06 8:48AM","463","5","0","468","N/A","N/A","N/A"
"2019-03-05 12:43AM","2019-03-05 8:55AM","469","23","0","492","N/A","N/A","N/A"
"2019-03-04 12:43AM","2019-03-04 9:03AM","477","23","1","500","N/A","N/A","N/A"
"2019-03-03 1:02AM","2019-03-03 9:20AM","480","12","1","498","N/A","N/A","N/A"
"2019-03-02 3:47AM","2019-03-02 9:17AM","326","3","0","329","N/A","N/A","N/A"
"2019-02-28 9:46PM","2019-03-01 7:01AM","527","25","2","555","N/A","N/A","N/A"

