,HouseID,ParentRespID,RaterHouseID,Valence,Year,academics-oriented,athletics-oriented,conservative,diverse,inclusive,party-oriented,prestigious,safe,service-oriented
0,2.0,2.0,1.0,19.0,2019.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0
1,3.0,2.0,1.0,16.0,2019.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0
2,4.0,2.0,1.0,22.0,2019.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,3.0
3,1.0,2.0,1.0,21.0,2019.0,3.0,2.0,1.0,4.0,5.0,3.0,1.0,5.0,2.0
4,2.0,3.0,1.0,17.0,2012.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0
5,3.0,3.0,1.0,17.0,2012.0,2.0,1.0,1.0,2.0,5.0,5.0,2.0,2.0,1.0
6,4.0,3.0,1.0,31.0,2012.0,3.0,5.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0
7,1.0,3.0,1.0,23.0,2012.0,4.0,2.0,1.0,5.0,5.0,3.0,3.0,4.0,2.0
8,2.0,4.0,1.0,17.0,2014.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0
9,3.0,4.0,1.0,20.0,2014.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0
10,4.0,4.0,1.0,17.0,2014.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0
11,1.0,4.0,1.0,22.0,2014.0,4.0,2.0,1.0,4.0,5.0,4.0,2.0,4.0,2.0
12,2.0,5.0,1.0,15.0,1991.0,2.0,3.0,3.0,2.0,1.0,5.0,3.0,1.0,3.0
13,3.0,5.0,1.0,12.0,1991.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0
14,4.0,5.0,1.0,20.0,1991.0,3.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0
15,1.0,5.0,1.0,22.0,1991.0,3.0,1.0,1.0,4.0,5.0,3.0,3.0,5.0,2.0
16,2.0,6.0,1.0,13.0,2019.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0
17,3.0,6.0,1.0,12.0,2019.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0
18,4.0,6.0,1.0,19.0,2019.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0
19,1.0,6.0,1.0,17.0,2019.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,1.0
20,2.0,7.0,1.0,7.0,2011.0,,,,,,4.0,,2.0,1.0
21,3.0,7.0,1.0,16.0,2011.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0
22,1.0,7.0,1.0,18.0,2011.0,4.0,1.0,1.0,5.0,5.0,2.0,1.0,4.0,1.0
23,3.0,8.0,1.0,15.0,2013.0,1.0,2.0,,3.0,2.0,3.0,2.0,2.0,1.0
24,4.0,8.0,1.0,19.0,2013.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0
25,1.0,8.0,1.0,16.0,2013.0,2.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,1.0
26,2.0,9.0,1.0,13.0,2006.0,2.0,3.0,5.0,2.0,1.0,5.0,4.0,1.0,2.0
27,3.0,9.0,1.0,16.0,2006.0,1.0,3.0,2.0,3.0,3.0,5.0,2.0,1.0,1.0
28,4.0,9.0,1.0,11.0,2006.0,1.0,3.0,5.0,1.0,2.0,5.0,3.0,1.0,1.0
29,1.0,9.0,1.0,19.0,2006.0,3.0,2.0,1.0,2.0,5.0,4.0,1.0,3.0,3.0
30,2.0,10.0,1.0,15.0,1994.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0
31,3.0,10.0,1.0,15.0,1994.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0
32,4.0,10.0,1.0,14.0,1994.0,2.0,4.0,3.0,2.0,2.0,5.0,2.0,1.0,1.0
33,1.0,10.0,1.0,22.0,1994.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,5.0,3.0
34,2.0,11.0,1.0,15.0,2019.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,1.0,3.0
35,3.0,11.0,1.0,16.0,2019.0,1.0,3.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0
36,4.0,11.0,1.0,19.0,2019.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0
