What is your view on politics in us & world,Ballot used for interview,Year of birth,Household type,Number in family of r,Rs income in constant $,Family income in constant $,Rs job is useful to society,R has opportunity to advance,Rs income is high,Rs job is secure,Standard of living of r will improve,Relationship status and cohabitation or not,The highest degree r have earned,Total family income,Respondents income,How much time felt sad in past wk,How much time felt happy in past wk,How much time felt depressed in past wk,Hours of internet use on weekends,Minutes of internet use on weekends,Hours of internet use on weekdays,Minutes of internet use on weekdays,Use twitter,Use internet/apps more than occassionally,I am meeting my current goals,I see myself as successful,I expect more good things to happen to me than bad,I'm always optimistic about my future,Hours per day watching tv,How often does r read newspaper,Rs living standard compared to parents,Happiness of marriage,General happiness,Strength of affiliation,Political party affiliation,Region of interview,Respondents income,Total family income,Was r born in this country,Rs family income when 16 yrs old,Living with parents when 16 yrs old,Marital status,Number of hours usually work a week,Respondent id number,Happiness of relt with partner,Condition of health,Satisfaction with financial situation,Rs self ranking of social position,Job or housework,Is r likely to lose job,Spend evening with friends,Spend evening with relatives,Confidence in congress,Confid. in united states supreme court,Confid. in exec branch of fed govt,Confidence in education,Confidence in major companies,Can people be trusted,Is life exciting or dull,Gss year for this respondent                       
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1969,"2adlts,mar,1+kids",1st person,164382.0376,131676.6906,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Bachelor's,$170000 or over,$170000 or over,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Never,Not applicable,Very happy,Pretty happy,No religion,Independent,New england,Refused,Refused,Yes,Average,Mother & father,Married,Not applicable,1,Not applicable,Good,Satisfied,Top,Mod. satisfied,Not likely,Sev times a year,Almost daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1955,"1adlt,0kids",1st person,25740,25740,No issp,No issp,No issp,No issp,Disagree,Not applicable,Not applicable,$50000 to 59999,$50000 to 59999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Definitely true,Slightly true,Agree,Agree,1,Less than once wk,About the same,Not applicable,Pretty happy,No religion,"Ind,near dem",New england,$25000 or more,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,2,Not applicable,Not applicable,Not at all sat,5,Very satisfied,Not likely,Sev times a year,Sev times a year,Hardly any,A great deal,Only some,Hardly any,Hardly any,Depends,Not applicable,2016
Not applicable,Ballot c,1944,"2adlts,mar,0kids",1st person,0,38610,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$75000 to $89999,Not applicable,None or almost none of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Don't know,Mostly true,Neutral,Neutral,Not applicable,Not applicable,About the same,Very happy,Very happy,Strong,Not str republican,New england,Not applicable,$25000 or more,Yes,Far below average,Mother & father,Married,Not applicable,3,Not applicable,Good,More or less,4,Not applicable,Not applicable,Not applicable,Not applicable,Hardly any,A great deal,Hardly any,Only some,Only some,Can trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1973,"4+adlts,2mar,1+kids",2nd person,5265,131676.6906,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$170000 or over,$10000 to 12499,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,Never,Not applicable,Very happy,Pretty happy,Somewhat strong,Not str republican,New england,$10000 - 14999,Refused,Yes,Below average,Mother,Married,Not applicable,4,Not applicable,Good,Satisfied,3,Very satisfied,Not likely,Sev times a week,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1961,"3adlts,2mar,sp,rel,0kids",2nd person,936,131676.6906,Strongly agree,Disagree,Strongly disagree,Strongly agree,Neither,I am married and living in the same household as my husband or wife.,Not applicable,$170000 or over,$1 000 to 2 999,Some of the time,Most of the time,None or almost none of the time,1,0,1,0,No,Yes,Mostly true,Somewhat true,Agree,Agree,Not applicable,Not applicable,About the same,Very happy,Very happy,No religion,Not str democrat,New england,$1000 to 2999,Refused,Yes,Above average,Mother & father,Married,Not applicable,5,Not applicable,Excellent,Satisfied,3,Mod. satisfied,Not applicable,Not applicable,Not applicable,Hardly any,A great deal,Only some,Only some,A great deal,Can trust,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1963,"2adlts,mar,1+kids",2nd person,0,31590,No issp,No issp,No issp,No issp,Agree,Not applicable,Associate's,$60000 to 74999,Not applicable,Not applicable,Not applicable,Not applicable,0,30,1,0,No,Yes,Mostly true,Mostly true,Agree,Agree,1,Never,Somewhat better,Very happy,Very happy,No religion,Not str democrat,New england,Not applicable,$25000 or more,No,Above average,Other,Married,Not applicable,6,Not applicable,Not applicable,More or less,5,Very satisfied,Not applicable,Once a month,Sev times a year,Hardly any,Only some,Only some,Only some,Hardly any,Can trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1966,"3adlts,2mar,sp,rel,0kids",1st person,164382.0376,131676.6906,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$170000 or over,$170000 or over,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Less than once wk,Not applicable,Very happy,Pretty happy,No religion,Not str republican,New england,Refused,Refused,No,Average,Mother & father,Married,Not applicable,7,Not applicable,Poor,Not at all sat,5,Mod. satisfied,Not too likely,Sev times a week,Once a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1993,"2adlts,mar,1+kids",1st person,7605,15210,Agree,Agree,Disagree,Agree,Agree,Not applicable,Not applicable,$30000 to 34999,$15000 to 17499,Some of the time,All or almost all of the time,None or almost none of the time,3,0,2,0,No,Yes,Definitely true,Definitely true,Strongly agree,Strongly agree,Not applicable,Not applicable,Much better,Very happy,Very happy,Not very strong,"Ind,near dem",Middle atlantic,$15000 - 19999,$25000 or more,No,Below average,Mother & father,Married,Not applicable,8,Not applicable,Good,More or less,4,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Hardly any,A great deal,Only some,Cannot trust,Routine,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1971,"2adlts,mar,1+kids",2nd person,9945,31590,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$60000 to 74999,$20000 to 22499,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Everyday,Not applicable,Pretty happy,Pretty happy,Strong,Strong democrat,Middle atlantic,$20000 - 24999,$25000 or more,No,Below average,Mother & father,Married,Not applicable,9,Not applicable,Good,Not at all sat,5,Mod. satisfied,Not too likely,Never,Once a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1945,"2adlts,ntmar,rel,0kids",1st person,0,31590,No issp,No issp,No issp,No issp,Strongly agree,Not applicable,Not applicable,$60000 to 74999,Not applicable,None or almost none of the time,Most of the time,None or almost none of the time,5,0,6,0,No,Yes,Definitely true,Definitely true,Agree,Disagree,Not applicable,Not applicable,About the same,Not applicable,Pretty happy,No religion,Strong republican,Middle atlantic,Not applicable,$25000 or more,Yes,Average,Mother & father,Divorced,Not applicable,10,Not applicable,Good,More or less,4,Not applicable,Not applicable,Not applicable,Not applicable,Hardly any,A great deal,Hardly any,Hardly any,A great deal,Can trust,Exciting,2016
