,birth_year,region,health,general_happy,past_week_happy,see_friends,see_relatives,income,work_hours,job_satisfaction,weekend_internet,weekday_internet,use_twitter,internet_per_week
0,1969.0,New england,Good,Pretty happy,,Sev times a year,Almost daily,170000.0,,Mod. satisfied,,,,
1,1955.0,New england,,Pretty happy,,Sev times a year,Sev times a year,54999.0,,Very satisfied,,,No,
2,1944.0,New england,Good,Very happy,Most of the time,,,,,,,,No,
3,1973.0,New england,Good,Pretty happy,,Sev times a week,Sev times a week,11249.0,,Very satisfied,,,,
4,1961.0,New england,Excellent,Very happy,Most of the time,,,1999.0,,Mod. satisfied,1.0,1.0,No,7.0
5,1963.0,New england,,Very happy,,Once a month,Sev times a year,,,Very satisfied,0.0,1.0,No,5.0
6,1966.0,New england,Poor,Pretty happy,,Sev times a week,Once a year,170000.0,,Mod. satisfied,,,,
7,1993.0,Middle atlantic,Good,Very happy,All or almost all of the time,,,16249.0,,Very satisfied,3.0,2.0,No,16.0
8,1971.0,Middle atlantic,Good,Pretty happy,,Never,Once a year,21249.0,,Mod. satisfied,,,,
9,1945.0,Middle atlantic,Good,Pretty happy,Most of the time,,,,,,5.0,6.0,No,40.0
10,1983.0,Middle atlantic,,,,Sev times a week,Almost daily,,,Mod. satisfied,4.0,7.0,No,43.0
11,1930.0,Middle atlantic,Poor,Not too happy,,Once a month,Sev times a mnth,,,,,,,
12,1984.0,Middle atlantic,,Very happy,,Never,Almost daily,4499.0,,A little dissat,12.0,12.0,No,84.0
13,1956.0,Middle atlantic,Good,Very happy,Some of the time,,,,,Very satisfied,3.0,2.0,No,16.0
14,1940.0,New england,,Pretty happy,,Sev times a week,Sev times a year,23749.0,30.0,Mod. satisfied,,,No,
15,1983.0,New england,Excellent,Pretty happy,Some of the time,,,27499.0,,Very satisfied,,,,
16,1960.0,New england,Excellent,Very happy,All or almost all of the time,,,21249.0,40.0,Very satisfied,,,,
17,1954.0,New england,,Pretty happy,,Once a month,Sev times a year,,,,,,,
18,1985.0,New england,,Pretty happy,,Sev times a year,Sev times a mnth,37499.0,,Mod. satisfied,2.0,3.0,Yes,19.0
19,1973.0,New england,Good,Pretty happy,,Never,Sev times a week,27499.0,,A little dissat,,,,
20,1958.0,New england,,Pretty happy,,Once a month,Almost daily,67499.0,,Very satisfied,,,No,
21,1984.0,Middle atlantic,Excellent,Pretty happy,Most of the time,,,,40.0,Very satisfied,2.0,1.0,No,9.0
