id,grade,age,school code,sex,homeless,disadvantaged,specialneeds,excused1,unexcused1,tardy1,excused2,unexcused2,tardy2,excused3,unexcused3,tardy3,excused4,unexcused4,tardy4
300053,11,16,1,F,N,,,12,0,0,0,0,0,0,0,0,0,0,0
300340,12,17,1,M,N,,,5,0,3,0,0,0,0,0,0,0,0,0
300344,10,15,1,M,N,,,0,0,0,0,0,0,0,0,0,0,0,0
300345,9,15,1,M,N,,504,7,0,3,0,0,0,0,0,0,0,0,0
300628,12,17,1,F,N,,,0,0,3,0,0,0,0,0,0,0,0,0
300629,10,16,1,F,N,,,25,8,7,0,0,0,0,0,0,0,0,0
300630,10,15,1,M,N,,504,2,0,1,0,0,0,0,0,0,0,0,0
300631,9,14,1,F,N,,,0,0,0,0,0,0,0,0,0,0,0,0
300908,12,18,1,F,N,,,0,0,3,0,0,0,0,0,0,0,0,0
300909,10,17,1,M,N,,IEP,5,0,0,0,0,0,0,0,0,0,0,0
300911,9,14,1,F,N,,504,0,0,0,0,0,0,0,0,0,0,0,0
301188,12,17,1,M,N,,504,1,0,2,0,0,0,0,0,0,0,0,0
301191,9,14,1,F,N,,,0,0,0,0,0,0,0,0,0,0,0,0
301466,12,17,1,F,N,,,0,0,0,0,0,0,0,0,0,0,0,0
301467,11,16,1,F,N,,,16,0,2,0,0,0,0,0,0,0,0,0
301745,11,16,1,M,N,,504,0,0,0,0,0,0,0,0,0,0,0,0
301747,9,14,1,F,N,,,0,1,0,0,0,0,0,0,0,0,0,0
302028,12,17,1,M,N,,,0,0,2,0,0,0,0,0,0,0,0,0
302032,10,15,1,F,N,,,0,0,0,0,0,0,0,0,0,0,0,0
302033,8,14,2,M,N,,,0,0,0,0,0,0,0,0,0,0,0,0
302316,9,15,1,F,N,,504,1,6,0,0,0,0,0,0,0,0,0,0
302317,9,15,1,M,N,,,1,0,0,0,0,0,0,0,0,0,0,0
302596,12,18,1,F,N,,504,0,1,5,0,0,0,0,0,0,0,0,0
302600,10,15,1,F,N,,,0,0,0,0,0,0,0,0,0,0,0,0
302601,9,15,1,M,N,,,3,0,0,0,0,0,0,0,0,0,0,0
302876,12,17,1,F,N,,,3,0,0,0,0,0,0,0,0,0,0,0
302877,11,17,1,F,N,,,0,0,0,0,0,0,0,0,0,0,0,0
302878,10,15,1,M,N,,504,16,1,4,0,0,0,0,0,0,0,0,0
303158,9,15,1,M,N,,IEP,0,3,8,0,0,0,0,0,0,0,0,0
303159,9,14,1,F,N,,,0,2,0,0,0,0,0,0,0,0,0,0
303438,12,17,1,F,N,,,13,0,1,0,0,0,0,0,0,0,0,0
303439,11,16,1,F,N,,,0,2,1,0,0,0,0,0,0,0,0,0
303441,9,14,1,M,N,,,0,0,1,0,0,0,0,0,0,0,0,0
303724,12,17,1,F,N,,504,0,1,0,0,0,0,0,0,0,0,0,0
303725,11,16,1,M,N,,IEP,0,6,2,0,0,0,0,0,0,0,0,0
303726,10,16,1,M,N,,504,0,0,0,0,0,0,0,0,0,0,0,0
303727,9,14,1,F,N,,IEP,6,0,3,0,0,0,0,0,0,0,0,0
304002,12,18,1,M,N,,IEP,0,0,1,0,0,0,0,0,0,0,0,0
304003,11,16,1,M,N,,IEP,0,0,0,0,0,0,0,0,0,0,0,0
304004,10,15,1,M,N,,,11,0,0,0,0,0,0,0,0,0,0,0
304005,8,14,2,M,N,,IEP,0,1,0,0,0,0,0,0,0,0,0,0
304284,10,15,1,M,N,,,0,0,0,0,0,0,0,0,0,0,0,0
304285,9,15,1,F,N,,,4,2,2,0,0,0,0,0,0,0,0,0
304560,12,17,1,F,N,,IEP,0,2,2,0,0,0,0,0,0,0,0,0
304561,11,17,1,M,N,,,0,0,0,0,0,0,0,0,0,0,0,0
304562,9,15,1,M,N,,IEP,6,4,0,0,0,0,0,0,0,0,0,0
304563,9,14,1,M,N,,,6,7,2,0,0,0,0,0,0,0,0,0
304840,11,17,1,M,N,,504,7,0,3,0,0,0,0,0,0,0,0,0
304841,11,16,1,F,N,,,0,1,0,0,0,0,0,0,0,0,0,0
