Enough,Hours,PhoneReach,PhoneTime,Tired,Breakfast
Yes,8,Yes,Yes,3,Yes
No,6,Yes,Yes,3,No
Yes,6,Yes,Yes,2,Yes
No,7,Yes,Yes,4,No
No,7,Yes,Yes,2,Yes
No,7,Yes,Yes,4,No
Yes,7,Yes,Yes,3,Yes
No,7,Yes,Yes,3,Yes
No,4,No,Yes,2,Yes
No,6,Yes,Yes,3,Yes
No,10,Yes,Yes,4,No
No,7,Yes,Yes,2,Yes
Yes,7,Yes,Yes,3,No
Yes,8,Yes,Yes,2,No
Yes,7,No,Yes,3,Yes
Yes,8,Yes,Yes,3,No
Yes,6,Yes,Yes,4,Yes
Yes,8,Yes,Yes,3,Yes
No,9,Yes,Yes,3,Yes
Yes,8,Yes,Yes,3,No
No,2,Yes,Yes,5,No
No,4,Yes,Yes,2,Yes
No,5,Yes,No,3,Yes
No,7,Yes,No,3,Yes
No,5,Yes,Yes,2,No
No,7,No,Yes,5,No
No,6,Yes,Yes,3,No
No,6,Yes,Yes,2,No
Yes,7,Yes,No,2,Yes
Yes,9,No,No,2,Yes
Yes,8,Yes,Yes,2,Yes
No,8,No,Yes,3,Yes
No,6,Yes,Yes,4,No
No,6,No,No,3,No
No,7,No,Yes,3,Yes
No,7,Yes,Yes,3,Yes
Yes,7,No,No,2,Yes
Yes,9,No,Yes,2,Yes
No,5,Yes,No,5,No
No,7,Yes,Yes,2,No
Yes,8,No,Yes,1,Yes
No,7,No,Yes,4,Yes
No,5,Yes,Yes,3,No
No,6,Yes,Yes,3,Yes
No,4,No,No,5,No
No,7,Yes,Yes,4,No
Yes,9,Yes,Yes,1,Yes
No,5,No,No,5,Yes
No,6,No,Yes,3,Yes
No,4,Yes,Yes,2,Yes
No,5,Yes,No,3,No
No,8,Yes,Yes,3,Yes
No,7,No,Yes,4,Yes
No,5,Yes,Yes,2,No
No,7,Yes,Yes,3,Yes
No,5,No,Yes,2,Yes
No,6,Yes,Yes,3,No
No,9,No,Yes,5,No
No,9,Yes,No,4,Yes
Yes,7,Yes,Yes,2,No
No,6,Yes,Yes,3,No
No,7,Yes,Yes,3,Yes
No,2,No,No,5,No
No,8,Yes,Yes,5,No
No,7,Yes,Yes,4,Yes
No,,Yes,No,3,Yes
Yes,7,Yes,No,1,No
No,7,Yes,Yes,3,Yes
Yes,7,Yes,No,3,No
No,6,Yes,Yes,3,Yes
Yes,6,No,Yes,4,Yes
No,5,Yes,Yes,4,Yes
No,5,Yes,Yes,4,No
No,6,No,Yes,5,Yes
Yes,7,Yes,Yes,4,Yes
No,6,No,Yes,4,No
No,8,Yes,Yes,4,Yes
Yes,6,Yes,Yes,4,No
No,6,Yes,Yes,3,Yes
No,7,Yes,Yes,4,No
Yes,6,Yes,Yes,3,No
No,6,Yes,Yes,3,No
No,5,No,No,4,No
Yes,8,No,No,2,Yes
Yes,8,No,Yes,1,Yes
No,6,Yes,Yes,3,No
No,9,No,Yes,5,Yes
No,5,Yes,No,4,Yes
No,6,Yes,No,2,Yes
Yes,8,No,Yes,3,Yes
No,7,No,Yes,4,Yes
Yes,,No,Yes,2,Yes
Yes,7,No,Yes,2,Yes
Yes,9,No,No,2,Yes
Yes,8,Yes,Yes,4,No
Yes,7,No,Yes,2,Yes
No,7,Yes,Yes,4,Yes
Yes,7,Yes,Yes,2,No
No,6,Yes,Yes,3,No
No,7,Yes,Yes,2,Yes
No,7,No,Yes,3,Yes
Yes,8,Yes,Yes,3,Yes
Yes,7,Yes,Yes,2,Yes
Yes,6,Yes,Yes,3,Yes
