sr,rr,t,lm,bo,rem,sr,hr,sl
93.8,25.68,91.84,16.6,89.84,99.6,1.84,74.2,3
91.64,25.104,91.552,15.88,89.552,98.88,1.552,72.76,3
60,20,96,10,95,85,7,60,1
85.76,23.536,90.768,13.92,88.768,96.92,0.768,68.84,3
48.12,17.248,97.872,6.496,96.248,72.48,8.248,53.12,0
56.88,19.376,95.376,9.376,94.064,83.44,6.376,58.44,1
47,16.8,97.2,5.6,95.8,68,7.8,52,0
50,18,99,8,97,80,9,55,0
45.28,16.112,96.168,4.224,95.112,61.12,7.112,50.28,0
55.52,19.104,95.104,9.104,93.656,82.76,6.104,57.76,1
73.44,21.344,93.344,11.344,91.344,91.72,4.016,63.36,2
59.28,19.856,95.856,9.856,94.784,84.64,6.856,59.64,1
48.6,17.44,98.16,6.88,96.44,74.4,8.44,53.6,0
96.288,26.288,85.36,17.144,82.432,100.36,0,75.72,4
87.8,24.08,91.04,14.6,89.04,97.6,1.04,70.2,3
52.32,18.464,94.464,8.464,92.696,81.16,5.464,56.16,1
52.64,18.528,94.528,8.528,92.792,81.32,5.528,56.32,1
86.24,23.664,90.832,14.08,88.832,97.08,0.832,69.16,3
81.56,22.416,90.208,12.52,88.208,95.52,0.208,66.04,3
63.68,20.368,92.368,10.368,90.368,86.84,2.552,60.92,2
77.6,21.76,93.76,11.76,91.76,93.8,4.64,64.4,2
77.28,21.728,93.728,11.728,91.728,93.64,4.592,64.32,2
69.76,20.976,92.976,10.976,90.976,89.88,3.464,62.44,2
88.04,24.144,91.072,14.68,89.072,97.68,1.072,70.36,3
89.96,24.656,91.328,15.32,89.328,98.32,1.328,71.64,3
53.68,18.736,94.736,8.736,93.104,81.84,5.736,56.84,1
78.56,21.856,93.856,11.856,91.856,94.28,4.784,64.64,2
50.96,18.192,94.192,8.192,92.288,80.48,5.192,55.48,1
94.76,25.936,91.968,16.92,89.968,99.92,1.968,74.84,3
62.08,20.208,92.208,10.208,90.208,86.04,2.312,60.52,2
49.12,17.648,98.472,7.296,96.648,76.48,8.648,54.12,0
96.256,26.256,85.32,17.128,82.384,100.32,0,75.64,4
47.68,17.072,97.608,6.144,96.072,70.72,8.072,52.68,0
99.904,29.904,89.88,18.952,87.856,104.88,0,84.76,4
60,20,92,10,90,85,2,60,2
86.72,23.792,90.896,14.24,88.896,97.24,0.896,69.48,3
48.48,17.392,98.088,6.784,96.392,73.92,8.392,53.48,0
98.528,28.528,88.16,18.264,85.792,103.16,0,81.32,4
46.12,16.448,96.672,4.896,95.448,64.48,7.448,51.12,0
98.72,28.72,88.4,18.36,86.08,103.4,0,81.8,4
60.96,20.096,92.096,10.096,90.096,85.48,2.144,60.24,2
65.6,20.56,92.56,10.56,90.56,87.8,2.84,61.4,2
75.36,21.536,93.536,11.536,91.536,92.68,4.304,63.84,2
49.28,17.712,98.568,7.424,96.712,77.12,8.712,54.28,0
73.28,21.328,93.328,11.328,91.328,91.64,3.992,63.32,2
98.912,28.912,88.64,18.456,86.368,103.64,0,82.28,4
62.88,20.288,92.288,10.288,90.288,86.44,2.432,60.72,2
97.664,27.664,87.08,17.832,84.496,102.08,0,79.16,4
56.72,19.344,95.344,9.344,94.016,83.36,6.344,58.36,1
96.576,26.576,85.72,17.288,82.864,100.72,0,76.44,4
49.6,17.84,98.76,7.68,96.84,78.4,8.84,54.6,0
53.6,18.72,94.72,8.72,93.08,81.8,5.72,56.8,1
93.2,25.52,91.76,16.4,89.76,99.4,1.76,73.8,3
46.84,16.736,97.104,5.472,95.736,67.36,7.736,51.84,0
56.08,19.216,95.216,9.216,93.824,83.04,6.216,58.04,1
75.68,21.568,93.568,11.568,91.568,92.84,4.352,63.92,2
97.536,27.536,86.92,17.768,84.304,101.92,0,78.84,4
92.84,25.424,91.712,16.28,89.712,99.28,1.712,73.56,3
87.56,24.016,91.008,14.52,89.008,97.52,1.008,70.04,3
58.48,19.696,95.696,9.696,94.544,84.24,6.696,59.24,1
98.336,28.336,87.92,18.168,85.504,102.92,0,80.84,4
81.08,22.288,90.144,12.36,88.144,95.36,0.144,65.72,3
46.6,16.64,96.96,5.28,95.64,66.4,7.64,51.6,0
61.6,20.16,92.16,10.16,90.16,85.8,2.24,60.4,2
96.448,26.448,85.56,17.224,82.672,100.56,0,76.12,4
50.24,18.048,94.048,8.048,92.072,80.12,5.048,55.12,1
49.92,17.968,98.952,7.936,96.968,79.68,8.968,54.92,0
