id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6DCZcSspjsKoFjzjrWoCd,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973.0,4.0
3ee8Jmje8o58CHK66QrVC,SAD!,XXXTENTACION,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,166606.0,4.0
0e7ipj03S05BNilyu5bRz,rockstar (feat. 21 Savage),Post Malone,0.587,0.535,5.0,-6.09,0.0,0.0898,0.117,6.56e-05,0.131,0.14,159.847,218147.0,4.0
3swc6WTsr7rl9DqQKQA55,Psycho (feat. Ty Dolla $ign),Post Malone,0.739,0.559,8.0,-8.011,1.0,0.117,0.58,0.0,0.112,0.439,140.124,221440.0,4.0
2G7V7zsVDxg1yRsu7Ew9R,In My Feelings,Drake,0.835,0.626,1.0,-5.833,1.0,0.125,0.0589,6e-05,0.396,0.35,91.03,217925.0,4.0
7dt6x5M1jzdTEt8oCbisT,Better Now,Post Malone,0.68,0.563,10.0,-5.843,1.0,0.0454,0.354,0.0,0.136,0.374,145.028,231267.0,4.0
58q2HKrzhC3ozto2nDdN4,I Like It,Cardi B,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,253390.0,4.0
7ef4DlsgrMEH11cDZd32M,One Kiss (with Dua Lipa),Calvin Harris,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847.0,4.0
76cy1WJvNGJTj78UqeA5z,IDGAF,Dua Lipa,0.836,0.544,7.0,-5.975,1.0,0.0943,0.0403,0.0,0.0824,0.51,97.028,217947.0,4.0
08bNPGLD8AhKpnnERrAc6,FRIENDS,Marshmello,0.626,0.88,9.0,-2.384,0.0,0.0504,0.205,0.0,0.128,0.534,95.079,202621.0,4.0
1rfofaqEpACxVEHIZBJe6,Havana,Camila Cabello,0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307.0,4.0
0s3nnoMeVWz3989MkNQiR,Lucid Dreams,Juice WRLD,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,239836.0,4.0
3CA9pLiwRIGtUBiMjbZmR,Nice For What,Drake,0.586,0.909,8.0,-6.474,1.0,0.0705,0.0891,0.000109,0.119,0.757,93.394,210747.0,4.0
7fa9MBXhVfQ8P8Df9OEbD,Girls Like You (feat. Cardi B),Maroon 5,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,235545.0,4.0
09IStsImFySgyp0pIQdqA,The Middle,Zedd,0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437,107.01,184732.0,4.0
3GCdLUSnKSMJhs4Tj6CV3,All The Stars (with SZA),Kendrick Lamar,0.698,0.633,8.0,-4.946,1.0,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187.0,4.0
2qT1uLXPVPzGgFOx4jtEu,no tears left to cry,Ariana Grande,0.699,0.713,9.0,-5.507,0.0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920.0,4.0
39N9RPD9MRb5WmoLzNzPe,X,Nicky Jam,0.595,0.773,9.0,-4.736,0.0,0.0549,0.0364,0.00108,0.334,0.711,180.073,173628.0,4.0
0JP9xo3adEtGSdUEISisz,Moonlight,XXXTENTACION,0.921,0.537,9.0,-5.723,0.0,0.0804,0.556,0.00404,0.102,0.711,128.009,135090.0,4.0
4qKcDkK6siZ7Jp1Jb4m0a,Look Alive (feat. Drake),BlocBoy JB,0.922,0.581,10.0,-7.495,1.0,0.27,0.00104,5.86e-05,0.105,0.595,140.022,181263.0,4.0
5CLGzJsGqhCEECcpnFQA8,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,0.653,0.809,0.0,-4.057,1.0,0.0474,0.194,0.0,0.165,0.55,92.213,210773.0,4.0
3V8UKqhEK5zBkBb6d6ub8,Te Bot? - Remix,Nio Garcia,0.903,0.675,11.0,-3.445,0.0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,417920.0,4.0
7uzmGiiJyRfuViKKK3lVm,Mine,Bazzi,0.71,0.789,4.0,-3.874,1.0,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,131064.0,4.0
2iUXsYOEPhVqEBwsqP70r,Youngblood,5 Seconds of Summer,0.596,0.854,7.0,-5.114,0.0,0.463,0.0169,0.0,0.124,0.152,120.274,203418.0,4.0
2xJCMIJfcNYDc5iR0sAm2,New Rules,Dua Lipa,0.762,0.7,9.0,-6.021,0.0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320.0,4.0
7qiZfU4dY1lWllzX7mPBI,Shape of You,Ed Sheeran,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713.0,4.0
45Egmo7icyopuzJN0oMEd,Love Lies (with Normani),Khalid,0.708,0.648,6.0,-5.626,1.0,0.0449,0.0956,0.0,0.134,0.338,143.955,201707.0,4.0
4e4fqjx0Izh4svvTef1z7,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.642,0.772,10.0,-6.61,1.0,0.0848,0.0476,0.0,0.0646,0.589,153.995,164205.0,4.0
7m9OqQk4RVRkw9JJdeAw9,Jocelyn Flores,XXXTENTACION,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133.0,4.0
0tgVpDi06FyKpA1z0VMD4,Perfect,Ed Sheeran,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,263400.0,3.0
5IaHrVsrferBYDm0bDyAB,Taste (feat. Offset),Tyga,0.884,0.559,0.0,-7.442,1.0,0.12,0.0236,0.0,0.101,0.342,97.994,232959.0,4.0
6kPJZM97LwdG9QIsT7khp,Solo (feat. Demi Lovato),Clean Bandit,0.737,0.636,11.0,-4.546,0.0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653.0,4.0
75ZvA4QfFiZvzhj2xkaWA,I Fall Apart,Post Malone,0.556,0.538,8.0,-5.408,0.0,0.0382,0.0689,0.0,0.196,0.291,143.95,223347.0,4.0
