OBJECTID,STATE,STUSAB,STATE_NAME,AREALAND,AREAWATER,TOTALPOP,POP_DEN,NUM_MINORITY,PCT_MINORITY,WHITE,PCT_WHITE,BLACK,PCT_BLACK,HISP,PCT_HISP,ASIAN,PCT_ASIAN,AMERIND,PCT_AMERIND,HAWPAC,PCT_HAWPAC,OTHER_RACE,PCT_OTHER_RACE,TWOMORE,PCT_TWOMORE,NHWHITE,PCT_NHWHITE,NHBLACK,PCT_NHBLACK,NHASIAN,PCT_NHASIAN,NHAMERIND,PCT_NHAMERIND,NHHAWPAC,PCT_NHHAWPAC,NHOTHER_RACE,PCT_NHOTHER_RACE,NHTWOMORE,PCT_NHTWOMORE,AGE_LT18,PCT_AGE_LT18,AGE_LT5,PCT_AGE_LT5,AGE_GT64,PCT_AGE_GT64,AGE_GT17,PCT_AGE_GT17,MALES,PCT_MALES,FEMALES,PCT_FEMALES,AGE_GT14,NEVER_MARRIED,PCT_NEVER_MARRIED,MARRIED,PCT_MARRIED,WIDOWED,PCT_WIDOWED,DIVORCED,PCT_DIVORCED,HSHOLDS,HSHLDS_PA,HSHOLD_MED_INC,FEMALE_HEAD_HH,PCT_FEMALE_HEAD_HH,PER_CAP_INC,INC_LT_15K,PCT_INC_LT_15K,INC_15_25K,PCT_INC_15_25K,INC_25_50K,PCT_INC_25_50K,INC_50_75K,PCT_INC_50_75K,INC_GT_75K,PCT_INC_GT_75K,POV_UNIVERSE,NUM_BPOV,PCT_BPOV,POV_UNIVERSE_FRT,LOWINC,PCT_LOWINC,HH_BPOV,PCT_HH_BPOV,EDU_UNIVERSE,EDU_NONE,PCT_EDU_NONE,EDU_LT5,PCT_EDU_LT5,EDU_5_6,PCT_EDU_5_6,EDU_7_8,PCT_EDU_7_8,EDU_LT9,PCT_EDU_LT9,EDU_9,PCT_EDU_9,EDU_10,PCT_EDU_10,EDU_11,PCT_EDU_11,EDU_12,PCT_EDU_12,EDU_HS,PCT_EDU_HS,EDU_LTHS,PCT_EDU_LTHS,EDU_HS_DG,PCT_EDU_HS_DG,EDU_COL_LT1,PCT_EDU_COL_LT1,EDU_COL_1_MORE,PCT_COL_1_MORE,EDU_COL,PCT_EDU_COL,EDU_COL_ASSC,PCT_EDU_COL_ASSC,EDU_COL_DG,PCT_EDU_COL_DG,EDU_COL_BACH_DG,PCT_EDU_COL_BACH_DG,EDU_COL_MAST_DG,PCT_EDU_COL_MAST_DG,EDU_PROF_DG,PCT_EDU_PROF_DG,EDU_COL_DR_DG,PCT_EDU_COL_DR_DG,LAN_UNIVERSE,LAN_ENG_ONLY,PCT_LAN_ENG_ONLY,LAN_NON_ENG,PCT_LAN_NON_ENG,LAN_ENG_VW,PCT_LAN_ENG_VW,LAN_ENG_W,PCT_LAN_ENG_W,LAN_ENG_NW,PCT_LAN_ENG_NW,LAN_ENG_NA,PCT_LAN_ENG_NA,LAN_ENG_LTW,PCT_LAN_ENG_LTW,LAN_ENG_LTVW,PCT_ENG_LTVW,HSHOLDS_LAN,LINGISO,PCT_LINGISO,HLI_ENGLISH,PCT_HLI_ENGLISH,HLI_SPANISH,PCT_HLI_SPANISH,HLI_SPANISH_LI,PCT_HLI_SPANISH_LI,HLI_SPANISH_NLI,PCT_HLI_SPANISH_NLI,HLI_IE,PCT_HLI_IE,HLI_IE_LI,PCT_HLI_IE_LI,HLI_IE_NLI,PCT_HLI_IE_NLI,HLI_API,PCT_HLI_API,HLI_API_LI,PCT_HLI_API_LI,HLI_API_NLI,PCT_HLI_API_NLI,HLI_OTHER,PCT_HLI_OTHER,HLI_OTHER_LI,PCT_HLI_OTHER_LI,HLI_OTHER_NLI,PCT_HLI_OTHER_NLI,LSP_UNIVERSE,ENGLISH,SPANISH,FRENCH,FR_CREOLE,ITALIAN,PORTUGUESE,GERMAN,YIDDISH,OTHER_WG,SCAN,GREEK,RUSSIAN,POLISH,SERBO_CROAT,OTHER_SLAV,ARMENIAN,PERSIAN,GUJARATHI,HINDI,URDU,OTHER_INDIC,OTHER_IE,CHINESE,JAPANESE,KOREAN,MK_CAMBODIAN,HMONG,THAI,LAOTIAN,VIETNAMESE,OTHER_ASIAN,TAGALOG,OTHER_PI,NAVAJO,OTHER_NATAM,HUNGARIAN,ARABIC,HEBREW,AFRICAN,OTHER,NON_ENGLISH,HSUNITS,HOME_PRE50,PCT_HOME_PRE50,HOME_PRE60,PCT_HOME_PRE60,HOME_PRE40,PCT_HOME_PRE40,HOME_40TO49,PCT_HOME_40TO49,HOME_50TO59,PCT_HOME_50TO59,HOME_60TO69,PCT_HOME_60TO69,HOME_70TO79,PCT_HOME_70TO79,HOME_80TO89,PCT_HOME_80TO89,HOME_90TO99,PCT_HOME_90TO99,HOME_00TO09,PCT_HOME_00TO09,HOME_AFTER09,PCT_HOME_AFTER09,OCCHU,PCT_OCCHU,OWNHU,PCT_OWNERS,RENTHU,PCT_RENTERS,EMP_STAT_UNIVERSE,EMP_STAT_IN_LF,PCT_EMP_STAT_IN_LF,EMP_STAT_IN_CIV_LF,PCT_EMP_STAT_IN_CIV_LF,EMP_STAT_EMPLOYED,PCT_EMP_STAT_EMPLOYED,EMP_STAT_UNEMPLOYED,PCT_EMP_STAT_UNEMPLOYED,EMP_STAT_IN_AF,PCT_EMP_STAT_IN_AF,EMP_STAT_NOT_IN_LF,PCT_EMP_STAT_NOT_IN_LF,Shape_Length,Shape_Area,FBPOP,EUROPE,ASIA,AFRICA,OCEANIA,AMERICAS
1,2,AK,Alaska,1.48E+12,2.45E+11,728300,1.276284151,270016,37.0748318,484195,66.4829054,25148,3.452972676,45247,6.21268708,40976,5.626252918,102743,14.10723603,8335,1.14444597,8382,1.150899355,58521,8.035287656,458284,62.9251682,23787,3.266099135,40357,5.54126047,99892,13.71577647,7994,1.097624605,922,0.126596183,51817,7.114787862,188090,25.82589592,54498,7.482905396,62241,8.546066182,540210,74.17410408,380119,52.1926404,348181,47.8073596,571190,191237,33.48045309,289491,50.68208477,21766,3.810640943,68696,12.0268212,251678,15596,71829,78731,46.71021406,33129,18295,7.269209069,19009,7.552904902,48190,19.1474821,46074,18.30672526,120110,47.72367867,711235,71866,10.10439587,711235,186291,26.19260863,21345,8.481075024,460319,2924,0.635211668,2525,0.548532648,2906,0.631301337,5284,1.147899609,13639,2.962945262,4180,0.908065928,6613,1.436612436,8166,1.77398717,5102,1.10836181,24061,5.227027344,37700,8.189972606,126611,27.50505628,34015,7.389440801,96871,21.04431927,168570,36.62025682,37684,8.186496756,127438,27.6847143,82261,17.87043333,32681,7.09964177,7370,1.60106361,5126,1.113575586,673802,564319,83.75145814,109483,16.24854186,75469,11.20047136,22411,3.326051273,9383,1.392545585,2220,0.329473644,11603,1.722019228,34014,5.048070501,251678,5522,2.194073379,204757,81.3567336,11484,4.562973323,1053,0.418391755,10431,4.144581569,8510,3.381304683,524,0.208202545,7986,3.173102138,12506,4.969047751,2658,1.05611138,9848,3.912936371,14421,5.729940638,1287,0.5113677,13134,5.218572938,673802,564319,22548,2320,210,395,211,3445,4,271,626,128,4794,508,126,978,3,72,143,292,105,869,653,1777,1912,4182,239,3631,1074,1408,867,652,14310,6558,172,31368,189,599,257,1308,279,109483,307820,11127,3.614774868,27196,8.835033461,4945,1.60645832,6182,2.008316549,16069,5.220258593,27661,8.98609577,75969,24.67968293,77540,25.19004613,43971,14.28464687,51863,16.84848288,3620,1.176011955,251678,81.76141901,159415,51.78838282,92263,36.65914383,560680,396856,70.78119426,380080,95.772774,347983,91.55519891,32097,8.444801095,16776,4.227225996,163824,29.21880574,565.9805805,282.0168817,51673,8568,28025,2132,1493,11455
2,4,AZ,Arizona,2.94E+11,1027790845,6561516,57.76283209,2826663,43.07941945,5174082,78.85497803,274380,4.181655581,1977026,30.13062835,191071,2.911994728,290780,4.43159782,12638,0.192607928,418033,6.37098195,200532,3.056183967,3734853,56.92058055,257620,3.926226805,186451,2.84158417,262626,4.002520149,11720,0.178617259,7032,0.107170355,124188,1.892672364,1620492,24.69691455,440616,6.715155461,974487,14.8515526,4941024,75.30308545,3258791,49.66521456,3302725,50.33478544,5211077,1687023,32.37378761,2590675,49.71477105,289946,5.564032157,643433,12.34740918,2387246,58624,49928,697398,44.43726548,25537,307167,12.8670024,267119,11.18942078,620803,26.0049865,441658,18.50073264,750499,31.43785768,6411354,1169309,18.2380976,6411354,2510164,39.15185466,371718,15.57099687,4284776,55703,1.300021285,38036,0.887701014,88636,2.068626225,88088,2.055836758,270463,6.312185281,72231,1.685759069,80441,1.877367685,97798,2.282453038,83459,1.947803106,333929,7.793382898,604392,14.10556818,1050079,24.50720878,323182,7.542564652,785304,18.32777256,1469229,34.28951712,360743,8.419179906,1161076,27.09770592,733845,17.12679963,306410,7.151132288,71569,1.67030902,49252,1.14946499,6120900,4477793,73.15579408,1643107,26.84420592,1068954,17.46400039,253297,4.138231306,204419,3.339688608,116437,1.902285612,320856,5.241974219,574153,9.380205525,2387246,113881,4.770392327,1744968,73.09544136,461140,19.31681946,87356,3.659279354,373784,15.65754011,69679,2.918802671,6336,0.265410435,63343,2.653392235,50959,2.134635475,10759,0.450686691,40200,1.683948785,60500,2.534301031,9430,0.395015847,51070,2.139285185,6120900,4477793,1251975,16421,922,7798,4307,22413,420,2427,2737,3146,7358,5781,8139,4008,1447,6147,3936,8437,2366,7842,6842,28507,6150,10112,1864,186,3096,1644,21774,14470,21888,7381,84190,26737,1629,18710,2722,11952,5226,1643107,2874548,98537,3.427912841,262296,9.124773704,49290,1.714704364,49247,1.713208477,163759,5.696860863,210707,7.330091548,503176,17.50452593,532789,18.53470528,590854,20.55467503,747623,26.00836723,27103,0.942861278,2387246,83.04770002,1513294,52.64458969,873952,36.60921413,5121781,3076534,60.06766006,3059049,99.43166563,2754982,90.06008076,304067,9.939919236,17485,0.568334366,2045247,39.93233994,23.84190764,28.91922003,883647,82850,159515,23987,4216,613079
3,8,CO,Colorado,2.68E+11,1176085119,5197580,50.14941445,1592381,30.63696951,4364911,83.979679,209062,4.022294991,1088602,20.94440105,146561,2.819793058,49917,0.960389258,6641,0.127771001,240282,4.622959146,180206,3.467113541,3605199,69.36303049,198952,3.827781391,143581,2.762458683,28452,0.547408602,5921,0.1139184,7963,0.153205915,118910,2.287795474,1234697,23.75522839,337435,6.492155965,614345,11.81982769,3962883,76.24477161,2608270,50.18239258,2589310,49.81760743,4162789,1290140,30.99220258,2189693,52.60158514,185645,4.45963031,497311,11.94658197,1998314,44105,59448,566150,44.1468312,31674,206308,10.32410322,184766,9.246094458,455365,22.78745983,365231,18.27695748,786644,39.36538502,5079529,663861,13.06934167,5079529,1532352,30.16720645,241881,12.10425389,3453403,30061,0.870474717,19087,0.552701205,44410,1.285977918,44211,1.280215486,137769,3.989369326,42085,1.218653021,45304,1.311865427,56891,1.647389546,50197,1.453551758,194477,5.631459751,332246,9.620829078,759335,21.98802167,220604,6.388017848,563149,16.3070745,1068138,30.93001309,284385,8.234920743,1293684,37.46113616,819675,23.73528372,344986,9.989740554,73307,2.122746752,55716,1.613365136,4860145,4039626,83.1173967,820519,16.8826033,510790,10.50976874,148856,3.062789279,119134,2.451243739,41739,0.858801538,160873,3.310045276,309729,6.372834555,1998314,61819,3.093557869,1645437,82.34126369,228016,11.41041898,42275,2.115533395,185741,9.294885589,66443,3.324952935,6438,0.322171591,60005,3.002781345,41325,2.067993318,9218,0.461288867,32107,1.606704452,17093,0.855371078,3888,0.194564017,13205,0.66080706,4860145,4039626,576094,16509,631,5311,3218,25211,167,3289,2921,1898,15424,5065,2683,5291,653,4196,899,4834,1471,7739,4930,20937,6176,16348,2155,3162,1938,1875,19738,10500,7223,3763,3068,2215,1358,10210,2022,18375,1022,820519,2238624,251755,11.24597074,434073,19.39017003,187121,8.358750733,64634,2.887220007,182318,8.144199294,209978,9.379779722,428767,19.15314943,334185,14.92814336,378604,16.9123533,429203,19.17262568,23814,1.063778464,1998314,89.26528082,1295048,57.8501794,703266,35.19296767,4094922,2811701,68.66311495,2779944,98.87054136,2560703,92.11347423,219241,7.886525772,31757,1.129458644,1283221,31.33688505,22.01919926,28.03925071,507203,71051,112788,28568,3949,290847
4,9,CT,Connecticut,12542396439,1814978794,3592053,741.7987685,1083693,30.1691818,2789105,77.64654363,365871,10.18556797,512795,14.27581943,145842,4.060129402,8036,0.223716075,1105,0.030762352,183297,5.10284787,98797,2.750432691,2508360,69.8308182,342043,9.522214733,144619,4.026082021,4830,0.134463495,879,0.024470686,11587,0.322573191,66940,1.863558249,795085,22.13455648,194338,5.41022084,531079,14.78483196,2796968,77.86544352,1750621,48.73594571,1841432,51.26405429,2945558,988089,33.54505326,1465503,49.75298398,176233,5.983008992,315733,10.71895376,1356206,44117,69899,432634,48.09411744,38480,130808,9.645142405,113957,8.402632049,253884,18.72016493,220577,16.26426959,636980,46.96779103,3481115,364740,10.47767741,3481115,823045,23.64314307,140065,10.32770833,2455577,24122,0.982335313,16396,0.667704576,26619,1.084022207,39647,1.61456961,106784,4.348631707,30880,1.257545579,40234,1.638474379,42411,1.727129713,36702,1.494638531,150227,6.117788202,257011,10.46641991,677887,27.60601683,133381,5.431757994,298426,12.15298889,612128,24.9280719,180321,7.343325011,908551,36.99949136,506662,20.63311393,290414,11.8267112,71488,2.911250594,39987,1.628415643,3397715,2663586,78.39344972,734129,21.60655028,451041,13.27483323,148628,4.374351586,100395,2.954779904,34065,1.002585561,134460,3.957365465,283088,8.331717051,1356206,71936,5.304208948,1031112,76.02915781,154865,11.41898797,38776,2.859152666,116089,8.559835305,126367,9.317684777,23119,1.704682032,103248,7.613002744,32295,2.381275411,8158,0.601531036,24137,1.779744375,11567,0.852894029,1883,0.138843214,9684,0.714050815,3397715,2663586,377238,32963,14087,34973,35901,10769,367,2101,2462,8843,10624,37100,4787,5360,773,1815,5248,12043,6661,11475,14089,28762,3265,6385,2461,9,1248,3409,7706,15555,9146,895,0,256,2687,10102,2567,8994,1003,734129,1490381,438813,29.4430082,671495,45.05525768,334290,22.42983506,104523,7.013173142,232682,15.61224949,199413,13.38000149,200288,13.43871131,193794,13.0029838,113875,7.640663696,104093,6.984321459,7423,0.498060563,1356206,90.99726848,913043,61.26238861,443163,32.67667301,2895925,1962119,67.75448259,1953521,99.56180028,1766934,90.44868215,186587,9.551317851,8598,0.438199722,933806,32.24551741,6.650479448,1.39699791,490446,131473,116064,19717,1372,221820
5,11,DC,District of Columbia,158350578,18633500,633736,10380.87441,409552,64.62501736,254955,40.23047452,314138,49.56922125,62637,9.883768636,22785,3.595345696,2072,0.326950023,195,0.03076991,23999,3.786908113,15592,2.460330485,224184,35.37498264,308766,48.72154967,22512,3.552267821,1384,0.218387467,186,0.029349761,1311,0.206868475,12756,2.01282553,107989,17.04006085,38546,6.082343436,71723,11.31748867,525747,82.95993915,300030,47.34305768,333706,52.65694232,541700,308717,56.99040059,156336,28.86025475,25346,4.678973602,51301,9.470371054,267415,10479,69235,66079,58.17018205,46502,39032,14.59603986,20327,7.601293869,44228,16.53908719,38266,14.3095937,125562,46.95398538,599620,109378,18.24121944,599620,191388,31.91821487,41959,15.69059327,442721,4996,1.128475948,3252,0.734548395,4631,1.046031248,6289,1.420533474,19168,4.329589064,5900,1.332667752,7380,1.66696407,10244,2.31387262,6407,1.447186829,29931,6.760691271,49099,11.09028033,82531,18.6417631,14788,3.340252665,46075,10.40723164,74717,16.87676889,13854,3.129284583,236374,53.39118768,103179,23.30564848,79033,17.85164923,37053,8.369379361,17109,3.864510606,595190,497255,83.54559048,97935,16.45440952,67543,11.34814093,17833,2.996186092,9810,1.648213176,2749,0.461869319,12559,2.110082495,30392,5.106268587,267415,7946,2.971411477,217588,81.3671634,21380,7.995063852,4338,1.622197708,17042,6.372866144,16098,6.019856777,1236,0.462202943,14862,5.557653834,6127,2.291195333,1239,0.463324795,4888,1.827870538,6222,2.32672064,1133,0.423686031,5089,1.903034609,595190,497255,47496,9061,439,2007,1684,2772,17,353,656,805,2112,462,413,706,85,834,330,1009,304,912,1223,5164,948,1271,62,42,322,37,762,1051,1580,368,14,92,219,1711,652,9529,431,97935,300798,148051,49.2194097,188840,62.77967274,107180,35.63188585,40871,13.58752385,40789,13.56026303,36905,12.26903104,23410,7.782631533,13111,4.358739087,8966,2.980737904,26293,8.741082055,3273,1.088105639,267415,88.9018544,111198,36.96766601,156217,58.41744106,536771,367510,68.46681359,364334,99.13580583,325838,89.43387112,38496,10.56612888,3176,0.864194172,169261,31.53318641,0.64573424,0.018373548,88626,16468,16190,14000,932,41036
6,13,GA,Georgia,1.49E+11,4947080103,9907756,172.2683986,4459039,45.00553909,5989234,60.44995456,3056726,30.8518498,896717,9.050656879,344195,3.473995524,25137,0.253710326,4317,0.043571925,287276,2.899506205,200871,2.027411656,5448717,54.99446091,3014233,30.42296359,342506,3.456948274,18273,0.184431268,3716,0.03750597,20476,0.206666373,163118,1.646366745,2488668,25.118382,670885,6.771311284,1138236,11.48833298,7419088,74.881618,4837995,48.83038097,5069761,51.16961903,7832615,2607461,33.28978891,3897450,49.75924388,437021,5.579503142,890683,11.37146406,3540690,67800,49342,1128426,46.87910505,25427,508930,14.37375201,401613,11.34278912,878821,24.82061406,635676,17.95344975,1115650,31.50939506,9637418,1781388,18.48407945,9637418,3764666,39.0630146,596010,16.83315964,6410416,84070,1.31145935,45562,0.710749505,92953,1.4500307,136821,2.134354463,359406,5.606594018,136647,2.131640131,174761,2.726203728,178713,2.787853394,109833,1.713352144,599954,9.359049397,959360,14.96564342,1832086,28.57983008,365871,5.707445507,986669,15.39165321,1804077,28.14290055,451537,7.043801838,1814893,28.31162595,1148710,17.91942988,468554,7.309260429,122826,1.916037898,74803,1.166897749,9236871,7997956,86.58728697,1238915,13.41271303,715975,7.751272049,241056,2.609714913,208499,2.25724707,73385,0.794478996,281884,3.051726066,522940,5.661440979,3540690,106776,3.015683384,3066396,86.6044754,253650,7.163857892,68335,1.929991047,185315,5.233866845,110731,3.127384775,12183,0.344085475,98548,2.7832993,78885,2.227955568,22098,0.624115638,56787,1.60383993,31028,0.876326366,4160,0.117491223,26868,0.758835142,9236871,7997956,727616,38120,17040,4803,11573,25206,499,5023,2377,2814,14879,3249,7437,4399,343,8749,20524,23682,9334,21281,12496,45319,8397,45220,4462,3099,3717,5246,42254,29625,12013,4830,169,845,1054,15654,2909,50882,1776,1238915,4114496,308910,7.507845432,569040,13.83012646,186353,4.529181703,122557,2.978663729,260130,6.322281028,375684,9.130741651,585123,14.22101273,712138,17.30802509,874095,21.24427876,956786,23.25402674,41630,1.011788564,3540690,86.05403918,2272001,55.2194242,1268689,35.83168817,7693577,4868842,63.28450342,4819365,98.98380354,4300074,89.22490826,519291,10.77509174,49477,1.016196459,2824735,36.71549658,20.69751996,14.6684616,962736,89614,266235,79119,2810,524958
7,16,ID,Idaho,2.14E+11,2397728105,1599464,19.35386831,266403,16.65576718,1468732,91.82651188,9334,0.583570496,186374,11.65227851,21749,1.359768022,20363,1.273113993,2177,0.136108096,37553,2.347849029,39556,2.473078481,1333061,83.34423282,8699,0.543869696,20747,1.297122036,16803,1.050539431,2032,0.127042559,1168,0.073024463,30580,1.911890483,428548,26.79322573,116313,7.27199862,213401,13.34203208,1170916,73.20677427,801678,50.12166576,797786,49.87833424,1240567,320788,25.85817614,705714,56.88640759,64032,5.161510825,150033,12.09390545,585259,18084,47334,173428,42.64241965,23087,73131,12.49549345,69076,11.80263781,164899,28.17538902,117485,20.07401851,160668,27.45246122,1568375,244618,15.59690763,1568375,615488,39.24367578,86206,14.72954709,1015487,10690,1.052696883,6212,0.611726196,11866,1.168503388,14171,1.395488076,42939,4.228414544,13076,1.28765804,18399,1.811840033,20348,2.00376765,15492,1.525573444,67315,6.628839168,110254,10.85725371,281600,27.73053717,87421,8.608775888,187147,18.42928565,365519,35.99445389,90951,8.956392352,258114,25.41775522,176651,17.3956929,56312,5.545319635,14796,1.457034901,10355,1.019707786,1483151,1325642,89.38011032,157509,10.61988968,98116,6.615374969,25814,1.740483606,24754,1.669014146,8825,0.595016961,33579,2.264031107,59393,4.004514712,585259,11634,1.987837863,517901,88.49090744,46187,7.891719734,9044,1.545298748,37143,6.346420986,11983,2.047469582,806,0.137716806,11177,1.909752776,6284,1.073712664,1287,0.219902641,4997,0.853810023,2904,0.496190575,497,0.084919668,2407,0.411270907,1483151,1325642,118178,3538,73,623,1558,4428,12,803,601,143,1774,207,2274,684,10,505,142,530,198,1158,1181,3514,1446,1449,127,71,320,607,1020,1527,1925,1180,168,2183,121,1312,32,1131,756,157509,675421,90564,13.40852594,139107,20.59559889,61168,9.056277492,29396,4.352248449,48543,7.187072952,47083,6.970911476,130591,19.33475566,71869,10.64062266,127159,18.82662813,151080,22.36827105,8532,1.26321213,585259,86.65099249,404981,59.95978804,180278,30.80311452,1216172,768276,63.17165664,765247,99.60574065,703410,91.91934108,61837,8.080658925,3029,0.394259355,447896,36.82834336,30.5067213,24.45693236,95635,12830,16323,2545,845,63092
8,17,IL,Illinois,1.44E+11,6200927458,12868747,231.7902562,4780117,37.14516262,9331376,72.51192366,1849054,14.36856284,2095495,16.28359777,627402,4.875393074,28535,0.22173876,3240,0.025177276,751248,5.837771152,277892,2.159433238,8088630,62.85483738,1822304,14.1606949,622689,4.838769462,14685,0.114113674,2564,0.01992424,16926,0.131527957,205454,1.596534612,3054966,23.73942078,810671,6.29953328,1696283,13.18141541,9813781,76.26057922,6313324,49.05935286,6555423,50.94064714,10347484,3562694,34.43053403,5148196,49.75311873,618260,5.974979038,1018334,9.841368201,4778633,120020,57166,1387086,44.29992415,30019,560206,11.72314342,479384,10.03182291,1070596,22.40381297,852342,17.83652354,1816105,38.00469716,12566139,1810470,14.40752804,12566139,4004005,31.86344668,642549,13.44629311,8560555,98533,1.151011821,56395,0.658777381,147354,1.72131363,169606,1.981250047,471888,5.512352879,114802,1.34105791,150743,1.760902185,170153,1.98763982,154558,1.805467052,590256,6.895066967,1062144,12.40741985,2312018,27.00780498,566837,6.621498256,1246540,14.56143907,2456459,28.69509045,643082,7.512153126,2729934,31.88968472,1688420,19.72325392,757345,8.846914715,181769,2.123331957,102400,1.196184126,12058076,9347280,77.51883468,2710796,22.48116532,1588447,13.17330393,555903,4.610213105,412960,3.424758643,153486,1.272889638,566446,4.697648282,1122349,9.307861387,4778633,233343,4.88304919,3746236,78.39555789,528991,11.06992313,122296,2.55922562,406695,8.510697515,315556,6.603478442,67436,1.411198558,248120,5.192279884,141013,2.950906671,35784,0.748833401,105229,2.202073271,46837,0.980133858,7827,0.163791612,39010,0.816342247,12058076,9347280,1586555,34492,4500,38248,6838,44282,1593,6322,3634,32100,41308,185087,30877,33435,2475,6649,42759,40978,43617,25300,44976,96996,12494,47835,3333,464,6871,4202,20452,55497,84242,5502,53,957,2695,59626,6420,30925,16207,2710796,5299433,1540987,29.07833725,2239205,42.25367129,1201809,22.67806763,339178,6.400269614,698218,13.17533404,627790,11.84636168,761766,14.37448119,466769,8.807904544,571276,10.7799457,605369,11.42327868,27258,0.514356913,4778633,90.17253355,3194707,60.28393981,1583926,33.1460064,10170489,6718857,66.06228078,6701592,99.74303665,6032031,90.00892624,669561,9.991073763,17265,0.25696335,3451632,33.93771922,21.41054044,15.40839627,1786926,378198,501823,53385,3555,849965
9,18,IN,Indiana,92790411854,1535839439,6542411,182.6157262,1255681,19.19293973,5519313,84.36206469,598423,9.146826759,411536,6.290280449,114674,1.752778907,15286,0.233644753,2076,0.031731421,151502,2.315690653,141137,2.157262819,5286730,80.80706027,589861,9.015957573,113904,1.741009545,12194,0.186383888,1599,0.024440531,8935,0.136570448,117652,1.798297294,1592022,24.33387325,424056,6.481647209,888788,13.5850224,4950389,75.66612675,3220649,49.22724971,3321762,50.77275029,5223072,1568508,30.03037293,2686757,51.44016778,312616,5.985289883,655191,12.54416941,2492183,55153,48737,717603,43.32943273,24953,317664,12.74641549,288229,11.56532245,668554,26.82603966,482652,19.3666356,735084,29.4955868,6342824,983826,15.51085132,6342824,2233085,35.20647901,354143,14.2101523,4287819,39423,0.919418474,14579,0.340009688,30692,0.71579514,89676,2.091412907,174370,4.066636208,70181,1.636752857,107036,2.496280743,110265,2.571587094,69299,1.616182959,356781,8.320803653,531151,12.38743986,1498978,34.95898498,287913,6.714672424,611241,14.25528923,1244894,29.03326843,345740,8.063306777,1012796,23.62030673,647692,15.10539507,268080,6.252129579,55789,1.301104361,41235,0.96167772,6118355,5614514,91.76509045,503841,8.234909547,305478,4.992812611,103975,1.69939469,72633,1.187132816,21755,0.35556943,94388,1.542702246,198363,3.242096936,2492183,44953,1.803759997,2271753,91.1551439,117283,4.70603483,27066,1.086035817,90217,3.619999013,61893,2.483485362,6868,0.275581689,55025,2.207903673,30799,1.235824175,9542,0.38287718,21257,0.852946995,10455,0.419511729,1477,0.059265311,8978,0.360246419,6118355,5614514,280273,12936,1656,3751,1751,34368,127,24503,875,3764,4209,4627,6041,5164,138,1503,3911,7473,3599,9780,2803,24702,6052,7384,1229,257,1008,679,5506,12893,6530,1789,73,683,885,9623,1113,9576,607,503841,2811617,679615,24.17167772,1001458,35.61857821,507248,18.04114856,172367,6.130529158,321843,11.44690048,323213,11.49562689,398288,14.16579854,282045,10.03141609,410057,14.58438329,369314,13.13528834,27242,0.968908639,2492183,88.63877975,1730954,61.56435958,761229,30.54466707,5131317,3288362,64.08417176,3285205,99.90399475,2994736,91.15826866,290469,8.841731338,3157,0.096005245,1842955,35.91582824,17.12581596,9.873256734,312685,41842,98810,18511,1357,152165
10,20,KS,Kansas,2.12E+11,1346704962,2882946,35.26163455,651764,22.60756879,2457815,85.25359129,167220,5.800316759,316141,10.96590085,72568,2.51714739,23727,0.823012294,1655,0.057406556,64931,2.252244752,95030,3.296280957,2231182,77.39243121,162948,5.652135004,72127,2.501850538,20015,0.694255113,1562,0.054180689,2041,0.070795638,76930,2.668450953,724971,25.146881,202749,7.032701965,395059,13.70330905,2157975,74.853119,1433243,49.71452813,1449703,50.28547188,2276416,647295,28.43482913,1231701,54.10702613,134855,5.924005103,262565,11.53413963,1112335,24157,51872,312518,42.75311464,27367,128394,11.54274567,119160,10.71260007,287843,25.87736608,215234,19.34974625,361704,32.51754193,2799551,386062,13.79013992,2799551,916880,32.75096614,145125,13.04687886,1861894,15540,0.83463398,8026,0.43106643,19457,1.045011155,32096,1.723836051,75119,4.034547617,23625,1.268869227,29289,1.573075589,34130,1.833079649,24945,1.339764777,111989,6.014789241,187108,10.04933686,505960,27.17447932,151580,8.141172376,300116,16.11885532,596941,32.06095513,145245,7.800927443,571885,30.71522869,370031,19.8739026,147219,7.906948516,33406,1.794194514,21229,1.140183061,2680197,2381572,88.85809513,298625,11.14190487,179152,6.684284775,58143,2.169355462,45758,1.707262563,15572,0.581002068,61330,2.288264631,119473,4.457620093,1112335,25839,2.322951269,987336,88.76246814,75454,6.783388098,17388,1.563198137,58066,5.220189961,23005,2.068171909,2009,0.180611057,20996,1.887560852,20154,1.811864232,5484,0.493016942,14670,1.31884729,6386,0.57410762,958,0.086125133,5428,0.487982487,2680197,2381572,197689,4437,276,948,1468,12639,67,1960,581,332,2796,346,666,742,91,1783,729,2975,1260,4314,622,10952,1987,3319,800,1398,808,4072,12594,6496,3813,1260,620,1013,194,4858,333,7045,342,298625,1240529,291862,23.52722105,456744,36.81848631,214737,17.31011528,77125,6.217105767,164882,13.29126526,128296,10.34203957,195407,15.75190906,146271,11.79101819,155926,12.56931519,147728,11.90846808,10157,0.818763608,1112335,89.66618273,746789,60.19923758,365546,32.86294147,2236421,1507003,67.38458457,1489787,98.85760015,1391836,93.42516749,97951,6.57483251,17216,1.142399849,729418,32.61541543,21.40553896,22.00432773,195885,15299,57704,10942,906,111034
